Source,SID,Target,TID,Overallcount,Type,Label,Weight
"Hermann Bahr","10815","Heinrich Schnitzler","12692","133","Directed","Hermann Bahr–Heinrich Schnitzler","9"
"Hermann Bahr","10815","Otto Brahm","10986","132","Directed","Hermann Bahr–Otto Brahm","15"
"Hermann Bahr","10815","Louise Schnitzler","12701","106","Directed","Hermann Bahr–Louise Schnitzler","1"
"Hermann Bahr","10815","Heinrich Kanner","11867","75","Directed","Hermann Bahr–Heinrich Kanner","39"
"Hermann Bahr","10815","Samuel Fischer","11324","67","Directed","Hermann Bahr–Samuel Fischer","7"
"Hermann Bahr","10815","Isidor Singer","12790","66","Directed","Hermann Bahr–Isidor Singer","40"
"Hermann Bahr","10815","Marie Reinhard","2378","61","Directed","Hermann Bahr–Marie Reinhard","1"
"Hermann Bahr","10815","Elisabeth Steinrück","2315","59","Directed","Hermann Bahr–Elisabeth Steinrück","1"
"Hermann Bahr","10815","Gertrude von Hofmannsthal","2292","58","Directed","Hermann Bahr–Gertrude von Hofmannsthal","1"
"Hermann Bahr","10815","Max Eugen Burckhard","11036","57","Directed","Hermann Bahr–Max Eugen Burckhard","14"
"Hermann Bahr","10815","Julius Schnitzler","12698","56","Directed","Hermann Bahr–Julius Schnitzler","5"
"Hermann Bahr","10815","Lili Cappellini","2238","54","Directed","Hermann Bahr–Lili Cappellini","3"
"Hermann Bahr","10815","Johann Wolfgang von Goethe","11461","49","Directed","Hermann Bahr–Johann Wolfgang von Goethe","1"
"Hermann Bahr","10815","Paul Schlenther","12671","46","Directed","Hermann Bahr–Paul Schlenther","2"
"Hermann Bahr","10815","Georg Hirschfeld","11701","44","Directed","Hermann Bahr–Georg Hirschfeld","2"
"Richard Beer-Hofmann","10863","Olga Schnitzler","2173","555","Directed","Richard Beer-Hofmann–Olga Schnitzler","63"
"Richard Beer-Hofmann","10863","Hugo von Hofmannsthal","11740","300","Directed","Richard Beer-Hofmann–Hugo von Hofmannsthal","124"
"Richard Beer-Hofmann","10863","Hermann Bahr","10815","223","Directed","Richard Beer-Hofmann–Hermann Bahr","33"
"Richard Beer-Hofmann","10863","Paul Goldmann","11485","165","Directed","Richard Beer-Hofmann–Paul Goldmann","70"
"Richard Beer-Hofmann","10863","Felix Salten","2167","140","Directed","Richard Beer-Hofmann–Felix Salten","50"
"Richard Beer-Hofmann","10863","Heinrich Schnitzler","12692","133","Directed","Richard Beer-Hofmann–Heinrich Schnitzler","14"
"Richard Beer-Hofmann","10863","Otto Brahm","10986","132","Directed","Richard Beer-Hofmann–Otto Brahm","17"
"Richard Beer-Hofmann","10863","Paula Beer-Hofmann","10860","121","Directed","Richard Beer-Hofmann–Paula Beer-Hofmann","102"
"Richard Beer-Hofmann","10863","Louise Schnitzler","12701","106","Directed","Richard Beer-Hofmann–Louise Schnitzler","22"
"Richard Beer-Hofmann","10863","Gustav Schwarzkopf","12740","93","Directed","Richard Beer-Hofmann–Gustav Schwarzkopf","45"
"Richard Beer-Hofmann","10863","Fedor Mamroth","4986","77","Directed","Richard Beer-Hofmann–Fedor Mamroth","4"
"Richard Beer-Hofmann","10863","Heinrich Kanner","11867","75","Directed","Richard Beer-Hofmann–Heinrich Kanner","1"
"Richard Beer-Hofmann","10863","Samuel Fischer","11324","67","Directed","Richard Beer-Hofmann–Samuel Fischer","10"
"Richard Beer-Hofmann","10863","Isidor Singer","12790","66","Directed","Richard Beer-Hofmann–Isidor Singer","2"
"Richard Beer-Hofmann","10863","Marie Reinhard","2378","61","Directed","Richard Beer-Hofmann–Marie Reinhard","4"
"Richard Beer-Hofmann","10863","Elisabeth Steinrück","2315","59","Directed","Richard Beer-Hofmann–Elisabeth Steinrück","9"
"Richard Beer-Hofmann","10863","Gertrude von Hofmannsthal","2292","58","Directed","Richard Beer-Hofmann–Gertrude von Hofmannsthal","4"
"Richard Beer-Hofmann","10863","Jakob Wassermann","13055","57","Directed","Richard Beer-Hofmann–Jakob Wassermann","6"
"Richard Beer-Hofmann","10863","Max Eugen Burckhard","11036","57","Directed","Richard Beer-Hofmann–Max Eugen Burckhard","12"
"Richard Beer-Hofmann","10863","Julius Schnitzler","12698","56","Directed","Richard Beer-Hofmann–Julius Schnitzler","9"
"Richard Beer-Hofmann","10863","Lili Cappellini","2238","54","Directed","Richard Beer-Hofmann–Lili Cappellini","6"
"Richard Beer-Hofmann","10863","Theodor Herzl","11673","51","Directed","Richard Beer-Hofmann–Theodor Herzl","3"
"Richard Beer-Hofmann","10863","Alfred Kerr","11910","50","Directed","Richard Beer-Hofmann–Alfred Kerr","11"
"Richard Beer-Hofmann","10863","Johann Wolfgang von Goethe","11461","49","Directed","Richard Beer-Hofmann–Johann Wolfgang von Goethe","2"
"Richard Beer-Hofmann","10863","Paul Schlenther","12671","46","Directed","Richard Beer-Hofmann–Paul Schlenther","8"
"Richard Beer-Hofmann","10863","Georg Hirschfeld","11701","44","Directed","Richard Beer-Hofmann–Georg Hirschfeld","12"
"Georg Brandes","10992","Olga Schnitzler","2173","555","Directed","Georg Brandes–Olga Schnitzler","21"
"Georg Brandes","10992","Richard Beer-Hofmann","10863","397","Directed","Georg Brandes–Richard Beer-Hofmann","28"
"Georg Brandes","10992","Hugo von Hofmannsthal","11740","300","Directed","Georg Brandes–Hugo von Hofmannsthal","5"
"Georg Brandes","10992","Hermann Bahr","10815","223","Directed","Georg Brandes–Hermann Bahr","1"
"Georg Brandes","10992","Paul Goldmann","11485","165","Directed","Georg Brandes–Paul Goldmann","10"
"Georg Brandes","10992","Felix Salten","2167","140","Directed","Georg Brandes–Felix Salten","2"
"Georg Brandes","10992","Heinrich Schnitzler","12692","133","Directed","Georg Brandes–Heinrich Schnitzler","11"
"Georg Brandes","10992","Otto Brahm","10986","132","Directed","Georg Brandes–Otto Brahm","2"
"Georg Brandes","10992","Paula Beer-Hofmann","10860","121","Directed","Georg Brandes–Paula Beer-Hofmann","3"
"Georg Brandes","10992","Louise Schnitzler","12701","106","Directed","Georg Brandes–Louise Schnitzler","6"
"Georg Brandes","10992","Marie Reinhard","2378","61","Directed","Georg Brandes–Marie Reinhard","1"
"Georg Brandes","10992","Elisabeth Steinrück","2315","59","Directed","Georg Brandes–Elisabeth Steinrück","1"
"Georg Brandes","10992","Jakob Wassermann","13055","57","Directed","Georg Brandes–Jakob Wassermann","5"
"Georg Brandes","10992","Lili Cappellini","2238","54","Directed","Georg Brandes–Lili Cappellini","7"
"Georg Brandes","10992","Johann Wolfgang von Goethe","11461","49","Directed","Georg Brandes–Johann Wolfgang von Goethe","12"
"Georg Brandes","10992","Paul Schlenther","12671","46","Directed","Georg Brandes–Paul Schlenther","1"
"Georg Brandes","10992","Georg Hirschfeld","11701","44","Directed","Georg Brandes–Georg Hirschfeld","1"
"Felix Braun","11002","Olga Schnitzler","2173","555","Directed","Felix Braun–Olga Schnitzler","1"
"Felix Braun","11002","Johann Wolfgang von Goethe","11461","49","Directed","Felix Braun–Johann Wolfgang von Goethe","1"
"Max Eugen Burckhard","11036","Olga Schnitzler","2173","555","Directed","Max Eugen Burckhard–Olga Schnitzler","11"
"Max Eugen Burckhard","11036","Heinrich Schnitzler","12692","133","Directed","Max Eugen Burckhard–Heinrich Schnitzler","2"
"Max Eugen Burckhard","11036","Otto Brahm","10986","132","Directed","Max Eugen Burckhard–Otto Brahm","1"
"Max Eugen Burckhard","11036","Louise Schnitzler","12701","106","Directed","Max Eugen Burckhard–Louise Schnitzler","1"
"Wilhelm Bölsche","11061","Otto Brahm","10986","132","Directed","Wilhelm Bölsche–Otto Brahm","2"
"Wilhelm Bölsche","11061","Samuel Fischer","11324","67","Directed","Wilhelm Bölsche–Samuel Fischer","1"
"Richard Dehmel","11148","Olga Schnitzler","2173","555","Directed","Richard Dehmel–Olga Schnitzler","2"
"Richard Dehmel","11148","Samuel Fischer","11324","67","Directed","Richard Dehmel–Samuel Fischer","1"
"Richard Dehmel","11148","Jakob Wassermann","13055","57","Directed","Richard Dehmel–Jakob Wassermann","1"
"Richard Dehmel","11148","Paul Schlenther","12671","46","Directed","Richard Dehmel–Paul Schlenther","1"
"Albert Ehrenstein","11230","Olga Schnitzler","2173","555","Directed","Albert Ehrenstein–Olga Schnitzler","2"
"Albert Ehrenstein","11230","Hugo von Hofmannsthal","11740","300","Directed","Albert Ehrenstein–Hugo von Hofmannsthal","1"
"Albert Ehrenstein","11230","Samuel Fischer","11324","67","Directed","Albert Ehrenstein–Samuel Fischer","3"
"Albert Ehrenstein","11230","Johann Wolfgang von Goethe","11461","49","Directed","Albert Ehrenstein–Johann Wolfgang von Goethe","1"
"Friedrich M. Fels","2450","Richard Beer-Hofmann","10863","397","Directed","Friedrich M. Fels–Richard Beer-Hofmann","10"
"Friedrich M. Fels","2450","Hugo von Hofmannsthal","11740","300","Directed","Friedrich M. Fels–Hugo von Hofmannsthal","7"
"Friedrich M. Fels","2450","Hermann Bahr","10815","223","Directed","Friedrich M. Fels–Hermann Bahr","2"
"Friedrich M. Fels","2450","Felix Salten","2167","140","Directed","Friedrich M. Fels–Felix Salten","3"
"Stefan Grossmann","11527","Felix Salten","2167","140","Directed","Stefan Grossmann–Felix Salten","1"
"Stefan Grossmann","11527","Otto Brahm","10986","132","Directed","Stefan Grossmann–Otto Brahm","1"
"Stefan Grossmann","11527","Samuel Fischer","11324","67","Directed","Stefan Grossmann–Samuel Fischer","2"
"Gerhart Hauptmann","11617","Hugo von Hofmannsthal","11740","300","Directed","Gerhart Hauptmann–Hugo von Hofmannsthal","2"
"Gerhart Hauptmann","11617","Hermann Bahr","10815","223","Directed","Gerhart Hauptmann–Hermann Bahr","1"
"Gerhart Hauptmann","11617","Otto Brahm","10986","132","Directed","Gerhart Hauptmann–Otto Brahm","3"
"Gerhart Hauptmann","11617","Samuel Fischer","11324","67","Directed","Gerhart Hauptmann–Samuel Fischer","1"
"Gerhart Hauptmann","11617","Isidor Singer","12790","66","Directed","Gerhart Hauptmann–Isidor Singer","2"
"Gerhart Hauptmann","11617","Max Eugen Burckhard","11036","57","Directed","Gerhart Hauptmann–Max Eugen Burckhard","1"
"Hugo von Hofmannsthal","11740","Olga Schnitzler","2173","555","Directed","Hugo von Hofmannsthal–Olga Schnitzler","58"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","397","Directed","Hugo von Hofmannsthal–Richard Beer-Hofmann","127"
"Hugo von Hofmannsthal","11740","Hermann Bahr","10815","223","Directed","Hugo von Hofmannsthal–Hermann Bahr","49"
"Hugo von Hofmannsthal","11740","Paul Goldmann","11485","165","Directed","Hugo von Hofmannsthal–Paul Goldmann","32"
"Hugo von Hofmannsthal","11740","Felix Salten","2167","140","Directed","Hugo von Hofmannsthal–Felix Salten","36"
"Hugo von Hofmannsthal","11740","Heinrich Schnitzler","12692","133","Directed","Hugo von Hofmannsthal–Heinrich Schnitzler","17"
"Hugo von Hofmannsthal","11740","Otto Brahm","10986","132","Directed","Hugo von Hofmannsthal–Otto Brahm","34"
"Hugo von Hofmannsthal","11740","Paula Beer-Hofmann","10860","121","Directed","Hugo von Hofmannsthal–Paula Beer-Hofmann","5"
"Hugo von Hofmannsthal","11740","Louise Schnitzler","12701","106","Directed","Hugo von Hofmannsthal–Louise Schnitzler","10"
"Hugo von Hofmannsthal","11740","Gustav Schwarzkopf","12740","93","Directed","Hugo von Hofmannsthal–Gustav Schwarzkopf","23"
"Hugo von Hofmannsthal","11740","Ottilie Salten","23918","88","Directed","Hugo von Hofmannsthal–Ottilie Salten","1"
"Hugo von Hofmannsthal","11740","Fedor Mamroth","4986","77","Directed","Hugo von Hofmannsthal–Fedor Mamroth","2"
"Hugo von Hofmannsthal","11740","Heinrich Kanner","11867","75","Directed","Hugo von Hofmannsthal–Heinrich Kanner","2"
"Hugo von Hofmannsthal","11740","Samuel Fischer","11324","67","Directed","Hugo von Hofmannsthal–Samuel Fischer","11"
"Hugo von Hofmannsthal","11740","Isidor Singer","12790","66","Directed","Hugo von Hofmannsthal–Isidor Singer","2"
"Hugo von Hofmannsthal","11740","Max Schwarzkopf","24648","61","Directed","Hugo von Hofmannsthal–Max Schwarzkopf","1"
"Hugo von Hofmannsthal","11740","Marie Reinhard","2378","61","Directed","Hugo von Hofmannsthal–Marie Reinhard","10"
"Hugo von Hofmannsthal","11740","Elisabeth Steinrück","2315","59","Directed","Hugo von Hofmannsthal–Elisabeth Steinrück","7"
"Hugo von Hofmannsthal","11740","Gertrude von Hofmannsthal","2292","58","Directed","Hugo von Hofmannsthal–Gertrude von Hofmannsthal","50"
"Hugo von Hofmannsthal","11740","Jakob Wassermann","13055","57","Directed","Hugo von Hofmannsthal–Jakob Wassermann","15"
"Hugo von Hofmannsthal","11740","Max Eugen Burckhard","11036","57","Directed","Hugo von Hofmannsthal–Max Eugen Burckhard","6"
"Hugo von Hofmannsthal","11740","Julius Schnitzler","12698","56","Directed","Hugo von Hofmannsthal–Julius Schnitzler","8"
"Hugo von Hofmannsthal","11740","Lili Cappellini","2238","54","Directed","Hugo von Hofmannsthal–Lili Cappellini","11"
"Hugo von Hofmannsthal","11740","Theodor Herzl","11673","51","Directed","Hugo von Hofmannsthal–Theodor Herzl","3"
"Hugo von Hofmannsthal","11740","Alfred Kerr","11910","50","Directed","Hugo von Hofmannsthal–Alfred Kerr","2"
"Hugo von Hofmannsthal","11740","Johann Wolfgang von Goethe","11461","49","Directed","Hugo von Hofmannsthal–Johann Wolfgang von Goethe","13"
"Hugo von Hofmannsthal","11740","Paul Schlenther","12671","46","Directed","Hugo von Hofmannsthal–Paul Schlenther","7"
"Hugo von Hofmannsthal","11740","Georg Hirschfeld","11701","44","Directed","Hugo von Hofmannsthal–Georg Hirschfeld","11"
"Arno Holz","11763","Hermann Bahr","10815","223","Directed","Arno Holz–Hermann Bahr","1"
"Eduard Michael Kafka","2563","Hugo von Hofmannsthal","11740","300","Directed","Eduard Michael Kafka–Hugo von Hofmannsthal","1"
"Eduard Michael Kafka","2563","Hermann Bahr","10815","223","Directed","Eduard Michael Kafka–Hermann Bahr","1"
"Eduard Michael Kafka","2563","Paul Goldmann","11485","165","Directed","Eduard Michael Kafka–Paul Goldmann","1"
"Eduard Michael Kafka","2563","Julius Schnitzler","12698","56","Directed","Eduard Michael Kafka–Julius Schnitzler","1"
"Karl Kraus","11988","Richard Beer-Hofmann","10863","397","Directed","Karl Kraus–Richard Beer-Hofmann","5"
"Karl Kraus","11988","Hugo von Hofmannsthal","11740","300","Directed","Karl Kraus–Hugo von Hofmannsthal","4"
"Karl Kraus","11988","Hermann Bahr","10815","223","Directed","Karl Kraus–Hermann Bahr","3"
"Karl Kraus","11988","Felix Salten","2167","140","Directed","Karl Kraus–Felix Salten","3"
"Karl Kraus","11988","Samuel Fischer","11324","67","Directed","Karl Kraus–Samuel Fischer","1"
"Fedor Mamroth","4986","Paul Goldmann","11485","165","Directed","Fedor Mamroth–Paul Goldmann","1"
"Fedor Mamroth","4986","Otto Brahm","10986","132","Directed","Fedor Mamroth–Otto Brahm","1"
"Fedor Mamroth","4986","Samuel Fischer","11324","67","Directed","Fedor Mamroth–Samuel Fischer","1"
"Thomas Mann","12176","Olga Schnitzler","2173","555","Directed","Thomas Mann–Olga Schnitzler","3"
"Thomas Mann","12176","Felix Salten","2167","140","Directed","Thomas Mann–Felix Salten","1"
"Thomas Mann","12176","Heinrich Schnitzler","12692","133","Directed","Thomas Mann–Heinrich Schnitzler","1"
"Thomas Mann","12176","Louise Schnitzler","12701","106","Directed","Thomas Mann–Louise Schnitzler","1"
"Thomas Mann","12176","Samuel Fischer","11324","67","Directed","Thomas Mann–Samuel Fischer","1"
"Thomas Mann","12176","Jakob Wassermann","13055","57","Directed","Thomas Mann–Jakob Wassermann","1"
