Source,CorrID,Target,InstID,Overallcount,Type,Label,Weight
"Franz Blei","10955","Neue Freie Presse","29351","72","Directed","Franz Blei–Neue Freie Presse","1"
"Oskar Blumenthal","14328","Lessing-Theater","35053","25","Directed","Oskar Blumenthal–Lessing-Theater","10"
"Georg Brandes","10992","Frankfurter Zeitung","29442","188","Directed","Georg Brandes–Frankfurter Zeitung","4"
"Georg Brandes","10992","Neue Freie Presse","29351","72","Directed","Georg Brandes–Neue Freie Presse","6"
"Georg Brandes","10992","Die Zeit. Wiener Wochenschrift","29209","67","Directed","Georg Brandes–Die Zeit. Wiener Wochenschrift","3"
"Georg Brandes","10992","Vossische Zeitung","29331","9","Directed","Georg Brandes–Vossische Zeitung","1"
"Felix Braun","11002","S. Fischer Verlag","29639","76","Directed","Felix Braun–S. Fischer Verlag","2"
"Max Eugen Burckhard","11036","S. Fischer Verlag","29639","76","Directed","Max Eugen Burckhard–S. Fischer Verlag","2"
"Max Eugen Burckhard","11036","Burgtheater","36247","62","Directed","Max Eugen Burckhard–Burgtheater","3"
"Max Eugen Burckhard","11036","Wiener Verlag","29636","14","Directed","Max Eugen Burckhard–Wiener Verlag","4"
"Wilhelm Bölsche","11061","S. Fischer Verlag","29639","76","Directed","Wilhelm Bölsche–S. Fischer Verlag","2"
"Wilhelm Bölsche","11061","Lessing-Theater","35053","25","Directed","Wilhelm Bölsche–Lessing-Theater","5"
"Wilhelm Bölsche","11061","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","29212","9","Directed","Wilhelm Bölsche–Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","2"
"Michael Georg Conrad","11098","Nationaltheater München","44112","7","Directed","Michael Georg Conrad–Nationaltheater München","2"
"Jakob Julius David","2416","Wiener Verlag","29636","14","Directed","Jakob Julius David–Wiener Verlag","1"
"Richard Dehmel","11148","S. Fischer Verlag","29639","76","Directed","Richard Dehmel–S. Fischer Verlag","1"
"Albert Ehrenstein","11230","S. Fischer Verlag","29639","76","Directed","Albert Ehrenstein–S. Fischer Verlag","1"
"Albert Ehrenstein","11230","Neue Freie Presse","29351","72","Directed","Albert Ehrenstein–Neue Freie Presse","6"
"Albert Ehrenstein","11230","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","29212","9","Directed","Albert Ehrenstein–Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","2"
"Friedrich M. Fels","2450","Neue Freie Presse","29351","72","Directed","Friedrich M. Fels–Neue Freie Presse","1"
"Friedrich M. Fels","2450","Burgtheater","36247","62","Directed","Friedrich M. Fels–Burgtheater","1"
"Friedrich M. Fels","2450","Wiener Allgemeine Zeitung","29670","23","Directed","Friedrich M. Fels–Wiener Allgemeine Zeitung","1"
"Friedrich M. Fels","2450","Neues Wiener Tagblatt","29414","15","Directed","Friedrich M. Fels–Neues Wiener Tagblatt","1"
"Friedrich M. Fels","2450","Deutsche Zeitung","29424","11","Directed","Friedrich M. Fels–Deutsche Zeitung","2"
"Friedrich M. Fels","2450","Vossische Zeitung","29331","9","Directed","Friedrich M. Fels–Vossische Zeitung","1"
"Friedrich M. Fels","2450","Concordia","29752","9","Directed","Friedrich M. Fels–Concordia","1"
"Stefan Grossmann","11527","Frankfurter Zeitung","29442","188","Directed","Stefan Grossmann–Frankfurter Zeitung","1"
"Stefan Grossmann","11527","Deutsches Theater Berlin","35597","14","Directed","Stefan Grossmann–Deutsches Theater Berlin","1"
"Stefan Grossmann","11527","Berliner Tageblatt","29329","13","Directed","Stefan Grossmann–Berliner Tageblatt","1"
