Source,Target,Weight,Type
"Hofmannsthal, Hugo von","Sils im Engadin/Segl",2,Directed
"Hofmannsthal, Hugo von","Bodensee",2,Directed
"Hofmannsthal, Hugo von","Hradec nad Moravicí",2,Directed
"Hofmannsthal, Hugo von","Partenkirchen",2,Directed
"Hofmannsthal, Hugo von","Schneeberg",2,Directed
"Hofmannsthal, Hugo von","Oberösterreich",2,Directed
"Hofmannsthal, Hugo von","Dürnstein",2,Directed
"Hofmannsthal, Hugo von","Seidlgasse",2,Directed
"Hofmannsthal, Hugo von","Forte dei Marmi",2,Directed
"Hofmannsthal, Hugo von","Agrigento",2,Directed
"Hofmannsthal, Hugo von","Mozartgasse",2,Directed
"Hofmannsthal, Hugo von","Dublin",1,Directed
"Hofmannsthal, Hugo von","Maputo Bay",1,Directed
"Hofmannsthal, Hugo von","Sri Lanka",1,Directed
"Hofmannsthal, Hugo von","Café Kugel",1,Directed
"Hofmannsthal, Hugo von","VI., Mariahilf",1,Directed
"Hofmannsthal, Hugo von","Miskolc",1,Directed
"Hofmannsthal, Hugo von","Hahngasse",1,Directed
"Hofmannsthal, Hugo von","Am Heumarkt",1,Directed
"Hofmannsthal, Hugo von","Eschenbachgasse",1,Directed
"Hofmannsthal, Hugo von","Hotel Kummer",1,Directed
"Hofmannsthal, Hugo von","Akademisches Gymnasium",1,Directed
"Hofmannsthal, Hugo von","Purkersdorf",1,Directed
"Hofmannsthal, Hugo von","Kärntnerring",1,Directed
"Hofmannsthal, Hugo von","Moskau",1,Directed
"Hofmannsthal, Hugo von","Wohnung und Ordination Johann Schnitzler Burgring 1",1,Directed
"Hofmannsthal, Hugo von","Burgring",1,Directed
"Hofmannsthal, Hugo von","Chicago",1,Directed
"Hofmannsthal, Hugo von","Lélex",1,Directed
"Hofmannsthal, Hugo von","Genf",1,Directed
"Hofmannsthal, Hugo von","Mont Blanc",1,Directed
"Hofmannsthal, Hugo von","Arles",1,Directed
"Hofmannsthal, Hugo von","Buchs",1,Directed
"Hofmannsthal, Hugo von","Riva del Garda",1,Directed
"Hofmannsthal, Hugo von","Schafberg [Wien]",1,Directed
"Hofmannsthal, Hugo von","Café Union",1,Directed
"Hofmannsthal, Hugo von","Musikverein",1,Directed
"Hofmannsthal, Hugo von","Friedrichshagen",1,Directed
"Hofmannsthal, Hugo von","Hotel Wandl",1,Directed
"Hofmannsthal, Hugo von","Russland",1,Directed
"Hofmannsthal, Hugo von","Pompeji",1,Directed
"Hofmannsthal, Hugo von","Museum für Angewandte Kunst",1,Directed
"Hofmannsthal, Hugo von","Hotel Erzherzog Rainer [Meran]",1,Directed
"Hofmannsthal, Hugo von","Vorderbrühl",1,Directed
"Hofmannsthal, Hugo von","Kohlmarkt",1,Directed
"Hofmannsthal, Hugo von","Ägypten",1,Directed
"Hofmannsthal, Hugo von","Pieve di Cadore",1,Directed
"Hofmannsthal, Hugo von","Valle di Cadore",1,Directed
"Hofmannsthal, Hugo von","Strohgasse",1,Directed
"Hofmannsthal, Hugo von","rue Richelieu",1,Directed
"Hofmannsthal, Hugo von","rue Jacob",1,Directed
"Hofmannsthal, Hugo von","Leipzig",1,Directed
"Hofmannsthal, Hugo von","Krütznergasse",1,Directed
"Hofmannsthal, Hugo von","Musikalienhandlung Albert J. Gutmann",1,Directed
"Hofmannsthal, Hugo von","Zum goldenen Stern",1,Directed
"Hofmannsthal, Hugo von","XIX., Döbling",1,Directed
"Hofmannsthal, Hugo von","Franzensbad",1,Directed
"Hofmannsthal, Hugo von","Prager Burg",1,Directed
"Hofmannsthal, Hugo von","Alter Jüdischer Friedhof",1,Directed
"Hofmannsthal, Hugo von","Venedig in Wien",1,Directed
"Hofmannsthal, Hugo von","Znojmo",1,Directed
"Hofmannsthal, Hugo von","Dobšice u Znojma",1,Directed
"Hofmannsthal, Hugo von","Neuhausen-Nymphenburg",1,Directed
"Hofmannsthal, Hugo von","Sedan",1,Directed
"Hofmannsthal, Hugo von","Glaspalast",1,Directed
"Hofmannsthal, Hugo von","Münchener Secession",1,Directed
"Hofmannsthal, Hugo von","Schweden",1,Directed
"Hofmannsthal, Hugo von","Norwegen",1,Directed
"Hofmannsthal, Hugo von","Japan",1,Directed
"Hofmannsthal, Hugo von","Badehotellet",1,Directed
"Hofmannsthal, Hugo von","Ven",1,Directed
"Hofmannsthal, Hugo von","Oslo",1,Directed
"Hofmannsthal, Hugo von","Göteborg",1,Directed
"Hofmannsthal, Hugo von","Nordkap",1,Directed
"Hofmannsthal, Hugo von","Ostsee",1,Directed
"Hofmannsthal, Hugo von","Skodsborg",1,Directed
"Hofmannsthal, Hugo von","Günthergasse",1,Directed
"Hofmannsthal, Hugo von","Comédie française",1,Directed
"Hofmannsthal, Hugo von","Alland",1,Directed
"Hofmannsthal, Hugo von","Neuhaus",1,Directed
"Hofmannsthal, Hugo von","Nöstach",1,Directed
"Hofmannsthal, Hugo von","Pottenstein",1,Directed
"Hofmannsthal, Hugo von","Rohrerhütte",1,Directed
"Hofmannsthal, Hugo von","Königstetten",1,Directed
"Hofmannsthal, Hugo von","Tulln an der Donau",1,Directed
"Hofmannsthal, Hugo von","Weidling",1,Directed
"Hofmannsthal, Hugo von","Rekawinkel",1,Directed
"Hofmannsthal, Hugo von","Wiener Neustadt",1,Directed
"Hofmannsthal, Hugo von","Dornbach",1,Directed
"Hofmannsthal, Hugo von","Riesengebirge",1,Directed
"Hofmannsthal, Hugo von","Honor Oak",1,Directed
"Hofmannsthal, Hugo von","Unterach am Attersee",1,Directed
"Hofmannsthal, Hugo von","Liechtensteinstraße [Hinterbrühl]",1,Directed
"Hofmannsthal, Hugo von","Bruck an der Großglocknerstraße",1,Directed
"Hofmannsthal, Hugo von","Hirschbichl",1,Directed
"Hofmannsthal, Hugo von","Gmunden",1,Directed
"Hofmannsthal, Hugo von","Stadttheater [Gmunden]",1,Directed
"Hofmannsthal, Hugo von","Villa Andrian",1,Directed
"Hofmannsthal, Hugo von","Sofiensäle",1,Directed
"Hofmannsthal, Hugo von","Bösendorfer-Saal",1,Directed
"Hofmannsthal, Hugo von","Am Hof",1,Directed
"Hofmannsthal, Hugo von","Café de l’Europe",1,Directed
"Hofmannsthal, Hugo von","Residenzhotel",1,Directed
"Hofmannsthal, Hugo von","Hotel Elefant",1,Directed
"Hofmannsthal, Hugo von","Villa Dr. Wassing",1,Directed
"Hofmannsthal, Hugo von","St. Johann im Pongau",1,Directed
"Hofmannsthal, Hugo von","Liechtensteinklamm",1,Directed
"Hofmannsthal, Hugo von","Steinach",1,Directed
"Hofmannsthal, Hugo von","Schladming",1,Directed
"Hofmannsthal, Hugo von","Chur",1,Directed
"Hofmannsthal, Hugo von","Innsbruck Hauptbahnhof",1,Directed
"Hofmannsthal, Hugo von","Telegrafenstation",1,Directed
"Hofmannsthal, Hugo von","Hotel National [Luzern]",1,Directed
"Hofmannsthal, Hugo von","Hotel Post [Tegernsee]",1,Directed
"Hofmannsthal, Hugo von","Zermatt",1,Directed
"Hofmannsthal, Hugo von","Simplon",1,Directed
"Hofmannsthal, Hugo von","Alpnachstad",1,Directed
"Hofmannsthal, Hugo von","Pavia",1,Directed
"Hofmannsthal, Hugo von","Modena",1,Directed
"Hofmannsthal, Hugo von","Parma",1,Directed
"Hofmannsthal, Hugo von","Ferrara",1,Directed
"Hofmannsthal, Hugo von","Piacenza",1,Directed
"Hofmannsthal, Hugo von","Pilatus",1,Directed
"Hofmannsthal, Hugo von","Villa Ceresio",1,Directed
"Hofmannsthal, Hugo von","Villa Beauséjour",1,Directed
"Hofmannsthal, Hugo von","Belvédère",1,Directed
"Hofmannsthal, Hugo von","Canal Grande",1,Directed
"Hofmannsthal, Hugo von","Neuenburgersee",1,Directed
"Hofmannsthal, Hugo von","Zum silbernen Brunnen",1,Directed
"Hofmannsthal, Hugo von","Julienhof",1,Directed
"Hofmannsthal, Hugo von","Hörselberge",1,Directed
"Hofmannsthal, Hugo von","Hotel Erbprinz",1,Directed
"Hofmannsthal, Hugo von","Jantsch-Theater",1,Directed
"Hofmannsthal, Hugo von","Café Rebhuhn",1,Directed
"Hofmannsthal, Hugo von","Behrenstraße",1,Directed
"Hofmannsthal, Hugo von","Hotel Goldener Adler [Innsbruck]",1,Directed
"Hofmannsthal, Hugo von","Kroatien",1,Directed
"Hofmannsthal, Hugo von","Passau",1,Directed
"Hofmannsthal, Hugo von","Rothenburg ob der Tauber",1,Directed
"Hofmannsthal, Hugo von","Südbahnhotel [Toblach]",1,Directed
"Hofmannsthal, Hugo von","Millstätter See",1,Directed
"Hofmannsthal, Hugo von","Hallstatt",1,Directed
"Hofmannsthal, Hugo von","Villa Gassner",1,Directed
"Hofmannsthal, Hugo von","Hotel Savoy [Berlin]",1,Directed
"Hofmannsthal, Hugo von","Hotel Victoria [Bozen]",1,Directed
"Hofmannsthal, Hugo von","Hotel de la Ville [Genua]",1,Directed
"Hofmannsthal, Hugo von","Meudon",1,Directed
"Hofmannsthal, Hugo von","Bois de Boulogne",1,Directed
"Hofmannsthal, Hugo von","Marne",1,Directed
"Hofmannsthal, Hugo von","Dessauer Straße",1,Directed
"Hofmannsthal, Hugo von","Poissy",1,Directed
"Hofmannsthal, Hugo von","Goldenes Tor",1,Directed
"Hofmannsthal, Hugo von","Split",1,Directed
"Hofmannsthal, Hugo von","Triest",1,Directed
"Hofmannsthal, Hugo von","Brighton",1,Directed
"Hofmannsthal, Hugo von","Brügge",1,Directed
"Hofmannsthal, Hugo von","Liebfrauenkirche",1,Directed
"Hofmannsthal, Hugo von","Hintersee",1,Directed
"Hofmannsthal, Hugo von","Golling an der Salzach",1,Directed
"Hofmannsthal, Hugo von","Kaliningrad",1,Directed
"Hofmannsthal, Hugo von","Inneres Linzertor",1,Directed
"Hofmannsthal, Hugo von","Sambir",1,Directed
"Hofmannsthal, Hugo von","Nago-Torbole",1,Directed
"Hofmannsthal, Hugo von","Torbole sul Garda",1,Directed
"Hofmannsthal, Hugo von","Ouchy",1,Directed
"Hofmannsthal, Hugo von","Schloss Chillon",1,Directed
"Hofmannsthal, Hugo von","Beau-Rivage Palace",1,Directed
"Hofmannsthal, Hugo von","Kaiserin-Elisabeth-Spital",1,Directed
"Hofmannsthal, Hugo von","Hotel Dolomiti [San Martino di Castrozza]",1,Directed
"Hofmannsthal, Hugo von","St. Anton am Arlberg",1,Directed
"Hofmannsthal, Hugo von","Hofgartengasthaus",1,Directed
"Hofmannsthal, Hugo von","Schloss Weiherburg",1,Directed
"Hofmannsthal, Hugo von","Sulz im Wienerwald",1,Directed
"Hofmannsthal, Hugo von","Tullnerbach",1,Directed
"Hofmannsthal, Hugo von","Stift Heiligenkreuz",1,Directed
"Hofmannsthal, Hugo von","Domgasse",1,Directed
"Hofmannsthal, Hugo von","Riviera",1,Directed
"Hofmannsthal, Hugo von","Gutenstein",1,Directed
"Hofmannsthal, Hugo von","Ampezzo",1,Directed
"Hofmannsthal, Hugo von","Bergfriedhof",1,Directed
"Hofmannsthal, Hugo von","Bischofshofen",1,Directed
"Hofmannsthal, Hugo von","Radstadt",1,Directed
"Hofmannsthal, Hugo von","Spittal an der Drau",1,Directed
"Hofmannsthal, Hugo von","Gainfarn",1,Directed
"Hofmannsthal, Hugo von","Hauptstraße [Hinterbrühl]",1,Directed
"Hofmannsthal, Hugo von","Biebrich",1,Directed
"Hofmannsthal, Hugo von","Roma Termini",1,Directed
"Hofmannsthal, Hugo von","Monte Pincio",1,Directed
"Hofmannsthal, Hugo von","Schumannstraße",1,Directed
"Hofmannsthal, Hugo von","Südpark-Restaurant",1,Directed
"Hofmannsthal, Hugo von","Breslau",1,Directed
"Hofmannsthal, Hugo von","Saal des wissenschaftlichen Clubs",1,Directed
"Hofmannsthal, Hugo von","Sankt Petersburg",1,Directed
"Hofmannsthal, Hugo von","Hôtel und Pension Faloria",1,Directed
"Hofmannsthal, Hugo von","Schall und Rauch",1,Directed
"Hofmannsthal, Hugo von","Mendelgebirge",1,Directed
"Hofmannsthal, Hugo von","Ponte di Rialto",1,Directed
"Hofmannsthal, Hugo von","Torcello",1,Directed
"Hofmannsthal, Hugo von","Monte Generoso",1,Directed
"Hofmannsthal, Hugo von","Schloss Belvedere [Weimar]",1,Directed
"Hofmannsthal, Hugo von","Matrei in Osttirol",1,Directed
"Hofmannsthal, Hugo von","Gasthof Post",1,Directed
"Hofmannsthal, Hugo von","Archkogel",1,Directed
"Hofmannsthal, Hugo von","Grundlsee [Gemeinde]",1,Directed
"Hofmannsthal, Hugo von","Gartenhaus [Goethe]",1,Directed
"Hofmannsthal, Hugo von","rue de l’Assomption",1,Directed
"Hofmannsthal, Hugo von","Deutsches Haus [Brünn]",1,Directed
"Hofmannsthal, Hugo von","Sanatorium Schloss Marbach am Bodensee",1,Directed
"Hofmannsthal, Hugo von","Sanatorium Fürth",1,Directed
"Hofmannsthal, Hugo von","Hotel Erzherzog Johann",1,Directed
"Hofmannsthal, Hugo von","Castellaccio di Monreale",1,Directed
"Hofmannsthal, Hugo von","Monreale",1,Directed
"Hofmannsthal, Hugo von","Castelmola",1,Directed
"Hofmannsthal, Hugo von","Grand Hotel San Domenico",1,Directed
"Hofmannsthal, Hugo von","Pötzleinsdorf",1,Directed
"Hofmannsthal, Hugo von","Salmannsdorf",1,Directed
"Hofmannsthal, Hugo von","Exelbergstraße",1,Directed
"Hofmannsthal, Hugo von","Starkfriedgassse",1,Directed
"Hofmannsthal, Hugo von","XXIII., Liesing",1,Directed
"Hofmannsthal, Hugo von","Wienerwald",1,Directed
"Hofmannsthal, Hugo von","Nasswald",1,Directed
"Hofmannsthal, Hugo von","Kalksburger Straße",1,Directed
"Hofmannsthal, Hugo von","Der rothe Stadl",1,Directed
"Hofmannsthal, Hugo von","Sophienalpe",1,Directed
"Hofmannsthal, Hugo von","Kalksburg",1,Directed
"Hofmannsthal, Hugo von","Mauerbach",1,Directed
"Hofmannsthal, Hugo von","Sankt Veit",1,Directed
"Hofmannsthal, Hugo von","Villa Franckenstein",1,Directed
"Hofmannsthal, Hugo von","Botschaft von Großbritannien in Paris",1,Directed
"Hofmannsthal, Hugo von","Schottland",1,Directed
"Hofmannsthal, Hugo von","Hotel zum goldenen Kreuz [Bad Ischl]",1,Directed
"Hofmannsthal, Hugo von","Haarlem",1,Directed
"Hofmannsthal, Hugo von","Ponte Gardena",1,Directed
"Hofmannsthal, Hugo von","Burg Salegg",1,Directed
"Hofmannsthal, Hugo von","Rosengartengruppe",1,Directed
"Hofmannsthal, Hugo von","Hotel Hammerand",1,Directed
"Hofmannsthal, Hugo von","Theater in der Josefstadt",1,Directed
