Source,SourceID,Target,TargetID,Year,Type,Label,Weight
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1915","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1915","3"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1916","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1916","4"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1917","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1917","4"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1918","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1918","3"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1919","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1919","5"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1920","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1920","8"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1921","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1921","1"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1922","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1922","1"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1923","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1923","4"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1924","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1924","6"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1925","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1925","8"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1926","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1926","2"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1927","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1927","4"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1928","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1928","4"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1929","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1929","3"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1891","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1891","18"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1892","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1892","33"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1893","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1893","46"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1894","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1894","61"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1895","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1895","53"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1896","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1896","55"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1897","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1897","51"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1898","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1898","47"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1899","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1899","61"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1900","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1900","38"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1901","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1901","41"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1902","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1902","13"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1903","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1903","22"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1904","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1904","36"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1905","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1905","25"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1906","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1906","13"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1907","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1907","27"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1908","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1908","23"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1909","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1909","26"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1910","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1910","33"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1911","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1911","7"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1912","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1912","16"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1913","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1913","8"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1914","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1914","17"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1915","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1915","3"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1916","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1916","7"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1917","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1917","7"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1918","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1918","5"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1919","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1919","1"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1920","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1920","3"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1921","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1921","3"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1922","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1922","3"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1923","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1923","2"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1924","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1924","3"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1925","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1925","3"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1926","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1926","2"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1927","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1927","3"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1928","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1928","1"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1929","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1929","1"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","10863","1930","Undirected","Arthur Schnitzler – Richard Beer-Hofmann, 1930","2"
