Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Robert Adam","12438","Die Schwestern oder Casanova in Spa. Lustspiel in Versen","30819","16","Directed","Robert Adam–Die Schwestern oder Casanova in Spa. Lustspiel in Versen","2"
"Robert Adam","12438","Fink und Fliederbusch. Komödie in drei Akten","30881","10","Directed","Robert Adam–Fink und Fliederbusch. Komödie in drei Akten","1"
"Robert Adam","12438","Im Spiel der Sommerlüfte. In drei Aufzügen","30945","6","Directed","Robert Adam–Im Spiel der Sommerlüfte. In drei Aufzügen","2"
"Robert Adam","12438","Casanovas Heimfahrt","30971","11","Directed","Robert Adam–Casanovas Heimfahrt","1"
"Robert Adam","12438","Don Quijote","31515","3","Directed","Robert Adam–Don Quijote","1"
"Robert Adam","12438","Wilhelm Meister","31673","2","Directed","Robert Adam–Wilhelm Meister","1"
"Robert Adam","12438","Spiel im Morgengrauen. Novelle","32131","4","Directed","Robert Adam–Spiel im Morgengrauen. Novelle","1"
"Robert Adam","12438","Frau Beate und ihr Sohn. Novelle","32133","5","Directed","Robert Adam–Frau Beate und ihr Sohn. Novelle","1"
"Robert Adam","12438","Die Geschichte des Alî ibn Bekkâr mit Schams an-Nahâr","33578","10","Directed","Robert Adam–Die Geschichte des Alî ibn Bekkâr mit Schams an-Nahâr","10"
"Robert Adam","12438","Neidhard","33580","12","Directed","Robert Adam–Neidhard","12"
"Robert Adam","12438","Fatme","33582","8","Directed","Robert Adam–Fatme","8"
"Robert Adam","12438","Yppl. Idylle in fünf Akten","33604","8","Directed","Robert Adam–Yppl. Idylle in fünf Akten","8"
"Robert Adam","12438","Der Fremde","33606","10","Directed","Robert Adam–Der Fremde","10"
"Robert Adam","12438","Das Ende des Judas","33608","7","Directed","Robert Adam–Das Ende des Judas","7"
"Robert Adam","12438","David Copperfield","33610","1","Directed","Robert Adam–David Copperfield","1"
"Robert Adam","12438","Siebenkäs","33612","1","Directed","Robert Adam–Siebenkäs","1"
"Robert Adam","12438","Zur Frage des Laienrichtertums beim Handelsgericht","33616","2","Directed","Robert Adam–Zur Frage des Laienrichtertums beim Handelsgericht","2"
"Robert Adam","12438","Margot und das Jugendgericht","33618","4","Directed","Robert Adam–Margot und das Jugendgericht","4"
"Robert Adam","12438","Ein Leben","33622","1","Directed","Robert Adam–Ein Leben","1"
"Robert Adam","12438","In aeternum. Eine Phantasie","33624","1","Directed","Robert Adam–In aeternum. Eine Phantasie","1"
"Robert Adam","12438","Briefe eines Unbekannten","33626","1","Directed","Robert Adam–Briefe eines Unbekannten","1"
"Robert Adam","12438","Gesellschaft [Eine Gaunerkomödie]","33628","5","Directed","Robert Adam–Gesellschaft [Eine Gaunerkomödie]","5"
"Robert Adam","12438","A Story of the Days to Come","33630","1","Directed","Robert Adam–A Story of the Days to Come","1"
"Robert Adam","12438","Tales of Space and Time","33632","1","Directed","Robert Adam–Tales of Space and Time","1"
"Robert Adam","12438","Prophezeiungen – Wahn oder Wirklichkeit?","33634","1","Directed","Robert Adam–Prophezeiungen – Wahn oder Wirklichkeit?","1"
"Robert Adam","12438","Tyll Ulenspiegel und Lamm Goedzak","33636","1","Directed","Robert Adam–Tyll Ulenspiegel und Lamm Goedzak","1"
"Robert Adam","12438","Der große Krieg in Deutschland","33638","1","Directed","Robert Adam–Der große Krieg in Deutschland","1"
"Robert Adam","12438","Jean Christophe","33640","3","Directed","Robert Adam–Jean Christophe","3"
"Robert Adam","12438","Bleus, Blancs et Rouges","33642","1","Directed","Robert Adam–Bleus, Blancs et Rouges","1"
"Robert Adam","12438","Le mariage de Monsieur de Bréchard","33644","1","Directed","Robert Adam–Le mariage de Monsieur de Bréchard","1"
"Robert Adam","12438","Sprüche","33648","1","Directed","Robert Adam–Sprüche","1"
"Robert Adam","12438","Rechtsphilosophie","33650","2","Directed","Robert Adam–Rechtsphilosophie","2"
"Robert Adam","12438","Meine Memoiren","33652","6","Directed","Robert Adam–Meine Memoiren","6"
"Robert Adam","12438","Wundervogel","33654","2","Directed","Robert Adam–Wundervogel","2"
"Robert Adam","12438","Robert","33656","2","Directed","Robert Adam–Robert","2"
"Robert Adam","12438","Glückliches Ereignis","33660","1","Directed","Robert Adam–Glückliches Ereignis","1"
"Robert Adam","12438","Über Rechtsprinzipien. Eine analytische Untersuchung","33662","2","Directed","Robert Adam–Über Rechtsprinzipien. Eine analytische Untersuchung","2"
"Robert Adam","12438","Träume auf der Asphodelosinsel","33664","1","Directed","Robert Adam–Träume auf der Asphodelosinsel","1"
"Robert Adam","12438","Märchenkomödie","33666","6","Directed","Robert Adam–Märchenkomödie","6"
"Robert Adam","12438","Der Kirschgarten","34409","1","Directed","Robert Adam–Der Kirschgarten","1"
"Robert Adam","12438","Die neue Rundschau","36156","15","Directed","Robert Adam–Die neue Rundschau","1"
"Peter Altenberg","2147","Der Weg ins Freie. Roman","29923","47","Directed","Peter Altenberg–Der Weg ins Freie. Roman","1"
"Peter Altenberg","2147","Das Vermächtnis. Schauspiel in drei Akten","30219","37","Directed","Peter Altenberg–Das Vermächtnis. Schauspiel in drei Akten","1"
"Peter Altenberg","2147","Wie ich es sehe","30965","7","Directed","Peter Altenberg–Wie ich es sehe","2"
"Peter Altenberg","2147","»Semmering 1912«","32550","1","Directed","Peter Altenberg–»Semmering 1912«","1"
"Peter Altenberg","2147","Masken und Wunder. Novellen","32816","1","Directed","Peter Altenberg–Masken und Wunder. Novellen","1"
"Peter Altenberg","2147","See-Ufer","33374","1","Directed","Peter Altenberg–See-Ufer","1"
"Peter Altenberg","2147","En route","33418","2","Directed","Peter Altenberg–En route","1"
"Peter Altenberg","2147","Vita ipsa","33684","1","Directed","Peter Altenberg–Vita ipsa","1"
"Peter Altenberg","2147","Märchen des Lebens","33686","1","Directed","Peter Altenberg–Märchen des Lebens","1"
"Peter Altenberg","2147","Der Tod des Junggesellen. Novelle","33758","2","Directed","Peter Altenberg–Der Tod des Junggesellen. Novelle","1"
"Peter Altenberg","2147","Die Fackel","41244","5","Directed","Peter Altenberg–Die Fackel","1"
"Peter Altenberg","2147","Sanatorium für Nervenkranke (aber nicht die, in denen ich mich befand!)","50243","1","Directed","Peter Altenberg–Sanatorium für Nervenkranke (aber nicht die, in denen ich mich befand!)","1"
"Lou Andreas-Salomé","10762","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Lou Andreas-Salomé–Das Märchen. Schauspiel in drei Aufzügen","2"
