Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Hermann Bahr","10815","Neue Deutsche Rundschau","36152","15","Directed","Hermann Bahr–Neue Deutsche Rundschau","1"
"Hermann Bahr","10815","Die neue Rundschau","36156","15","Directed","Hermann Bahr–Die neue Rundschau","1"
"Hermann Bahr","10815","Die Frau mit dem Dolche","29865","14","Directed","Hermann Bahr–Die Frau mit dem Dolche","6"
"Hermann Bahr","10815","Buch der Sprüche und Bedenken","30053","14","Directed","Hermann Bahr–Buch der Sprüche und Bedenken","2"
"Hermann Bahr","10815","Die Gefährtin. Schauspiel in einem Akt","29845","13","Directed","Hermann Bahr–Die Gefährtin. Schauspiel in einem Akt","5"
"Hermann Bahr","10815","Die Toten schweigen","29833","12","Directed","Hermann Bahr–Die Toten schweigen","9"
"Hermann Bahr","10815","Zum großen Wurstel. Burleske in einem Akt","29951","12","Directed","Hermann Bahr–Zum großen Wurstel. Burleske in einem Akt","2"
"Hermann Bahr","10815","Die Frau des Weisen. Erzählung","30075","12","Directed","Hermann Bahr–Die Frau des Weisen. Erzählung","8"
"Hermann Bahr","10815","Die letzten Masken","29877","11","Directed","Hermann Bahr–Die letzten Masken","4"
"Hermann Bahr","10815","Fräulein Else","29941","11","Directed","Hermann Bahr–Fräulein Else","1"
"Hermann Bahr","10815","Der Puppenspieler. Studie in einem Aufzuge","29873","10","Directed","Hermann Bahr–Der Puppenspieler. Studie in einem Aufzuge","9"
"Hermann Bahr","10815","Dämmerseelen. Novellen","29921","9","Directed","Hermann Bahr–Dämmerseelen. Novellen","2"
"Hermann Bahr","10815","Hamlet","30009","8","Directed","Hermann Bahr–Hamlet","3"
"Hermann Bahr","10815","Der Geist im Wort und der Geist in der Tat","30051","8","Directed","Hermann Bahr–Der Geist im Wort und der Geist in der Tat","1"
"Hermann Bahr","10815","Marionetten. Drei Einakter","29859","7","Directed","Hermann Bahr–Marionetten. Drei Einakter","2"
"Hermann Bahr","10815","Excentric","29893","7","Directed","Hermann Bahr–Excentric","3"
"Hermann Bahr","10815","Tristan und Isolde","29897","7","Directed","Hermann Bahr–Tristan und Isolde","4"
"Hermann Bahr","10815","Später Ruhm","30073","7","Directed","Hermann Bahr–Später Ruhm","4"
"Hermann Bahr","10815","Die Andere","29999","6","Directed","Hermann Bahr–Die Andere","2"
"Richard Beer-Hofmann","10863","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Richard Beer-Hofmann–Liebelei. Schauspiel in drei Akten","33"
"Richard Beer-Hofmann","10863","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Richard Beer-Hofmann–Der Schleier der Beatrice. Schauspiel in fünf Akten","11"
"Richard Beer-Hofmann","10863","Anatol","29935","96","Directed","Richard Beer-Hofmann–Anatol","9"
"Richard Beer-Hofmann","10863","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Richard Beer-Hofmann–Das Märchen. Schauspiel in drei Aufzügen","10"
"Richard Beer-Hofmann","10863","Freiwild. Schauspiel in 3 Akten","29899","62","Directed","Richard Beer-Hofmann–Freiwild. Schauspiel in 3 Akten","13"
"Richard Beer-Hofmann","10863","Frankfurter Zeitung","36344","60","Directed","Richard Beer-Hofmann–Frankfurter Zeitung","2"
"Richard Beer-Hofmann","10863","Der einsame Weg. Schauspiel in fünf Akten","29985","58","Directed","Richard Beer-Hofmann–Der einsame Weg. Schauspiel in fünf Akten","1"
"Richard Beer-Hofmann","10863","Reigen. Zehn Dialoge","29855","55","Directed","Richard Beer-Hofmann–Reigen. Zehn Dialoge","6"
"Richard Beer-Hofmann","10863","Sterben. Novelle","30117","52","Directed","Richard Beer-Hofmann–Sterben. Novelle","6"
"Richard Beer-Hofmann","10863","Der Weg ins Freie. Roman","29923","47","Directed","Richard Beer-Hofmann–Der Weg ins Freie. Roman","5"
"Richard Beer-Hofmann","10863","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Richard Beer-Hofmann–Der grüne Kakadu. Groteske in einem Akt","8"
"Richard Beer-Hofmann","10863","Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","29937","40","Directed","Richard Beer-Hofmann–Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","5"
"Richard Beer-Hofmann","10863","Das Vermächtnis. Schauspiel in drei Akten","30219","37","Directed","Richard Beer-Hofmann–Das Vermächtnis. Schauspiel in drei Akten","5"
"Richard Beer-Hofmann","10863","Neue Freie Presse","36374","36","Directed","Richard Beer-Hofmann–Neue Freie Presse","1"
"Richard Beer-Hofmann","10863","Der Ruf des Lebens. Schauspiel in drei Akten","29905","34","Directed","Richard Beer-Hofmann–Der Ruf des Lebens. Schauspiel in drei Akten","4"
"Richard Beer-Hofmann","10863","Der Tod Georgs","31535","33","Directed","Richard Beer-Hofmann–Der Tod Georgs","21"
"Richard Beer-Hofmann","10863","Der Graf von Charolais. Ein Trauerspiel","30233","31","Directed","Richard Beer-Hofmann–Der Graf von Charolais. Ein Trauerspiel","24"
"Richard Beer-Hofmann","10863","Das weite Land. Tragikomödie in fünf Akten","30207","30","Directed","Richard Beer-Hofmann–Das weite Land. Tragikomödie in fünf Akten","3"
"Richard Beer-Hofmann","10863","Frau Bertha Garlan. Roman","30486","30","Directed","Richard Beer-Hofmann–Frau Bertha Garlan. Roman","4"
"Richard Beer-Hofmann","10863","Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","32562","28","Directed","Richard Beer-Hofmann–Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","5"
"Richard Beer-Hofmann","10863","Zwischenspiel. Komödie in drei Akten","29903","26","Directed","Richard Beer-Hofmann–Zwischenspiel. Komödie in drei Akten","2"
"Richard Beer-Hofmann","10863","Die Zeit. Wiener Wochenschrift","36340","24","Directed","Richard Beer-Hofmann–Die Zeit. Wiener Wochenschrift","5"
