Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Hugo von Hofmannsthal","11740","Reigen. Zehn Dialoge","29855","55","Directed","Hugo von Hofmannsthal–Reigen. Zehn Dialoge","2"
"Hugo von Hofmannsthal","11740","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Hugo von Hofmannsthal–Der Schleier der Beatrice. Schauspiel in fünf Akten","21"
"Hugo von Hofmannsthal","11740","Marionetten. Drei Einakter","29859","7","Directed","Hugo von Hofmannsthal–Marionetten. Drei Einakter","2"
"Hugo von Hofmannsthal","11740","Lebendige Stunden. Vier Einakter","29863","38","Directed","Hugo von Hofmannsthal–Lebendige Stunden. Vier Einakter","3"
"Hugo von Hofmannsthal","11740","Literatur","29869","16","Directed","Hugo von Hofmannsthal–Literatur","1"
"Hugo von Hofmannsthal","11740","Über unsere Kraft","29883","3","Directed","Hugo von Hofmannsthal–Über unsere Kraft","2"
"Eduard Michael Kafka","2563","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Eduard Michael Kafka–Das Märchen. Schauspiel in drei Aufzügen","3"
"Karl Kraus","11988","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Karl Kraus–Das Märchen. Schauspiel in drei Aufzügen","4"
"Karl Kraus","11988","Die Weber. Schauspiel aus den vierziger Jahren","29827","5","Directed","Karl Kraus–Die Weber. Schauspiel aus den vierziger Jahren","1"
"Karl Kraus","11988","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Karl Kraus–Der Schleier der Beatrice. Schauspiel in fünf Akten","2"
"Detlev von Liliencron","12071","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Detlev von Liliencron–Das Märchen. Schauspiel in drei Aufzügen","1"
"Fedor Mamroth","4986","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Fedor Mamroth–Das Märchen. Schauspiel in drei Aufzügen","1"
"Thomas Mann","12176","Lebendige Stunden. Vier Einakter","29863","38","Directed","Thomas Mann–Lebendige Stunden. Vier Einakter","1"
"Julius Rodenberg","9550","Die Gefährtin. Schauspiel in einem Akt","29845","13","Directed","Julius Rodenberg–Die Gefährtin. Schauspiel in einem Akt","2"
"Frank Wedekind","13068","Lieutenant Gustl. Novelle","29853","31","Directed","Frank Wedekind–Lieutenant Gustl. Novelle","1"
"Joseph Victor Widmann","3557","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Joseph Victor Widmann–Der grüne Kakadu. Groteske in einem Akt","1"
