Source,SourceID,Lat-Long-Sender,Target,TargetID,Lat-Long-Receiver,Type,Label,Weight
"Heiligenblut am Großglockner","90843","47,03979 12,84345","I., Innere Stadt","51","48,20769 16,37049","Directed","Heiligenblut am Großglockner–I., Innere Stadt","1"
"Wien","50","48,208333 16,373056","Bern","1223","46,9489 7,4638","Directed","Wien–Bern","2"
"Neapel","595","40,85216 14,26811","Neapel","595","40,85216 14,26811","Directed","Neapel–Neapel","2"
"Neapel","595","40,85216 14,26811","Sternwartestraße 71","168815","48,23188 16,33716","Directed","Neapel–Sternwartestraße 71","1"
"Baden-Baden","228","48,7606 8,23975","Baden-Baden","228","48,7606 8,23975","Directed","Baden-Baden–Baden-Baden","1"
"Baden-Baden","228","48,7606 8,23975","Tiefer Graben 17","207301","48,212284 16,367725","Directed","Baden-Baden–Tiefer Graben 17","1"
"Welsberg-Taisten","428","46,75774 12,10556","Hasenauerstraße 59","235251","48,23365 16,33494","Directed","Welsberg-Taisten–Hasenauerstraße 59","1"
"Café Metropol","43437","47,36814 8,541785","Unbekannt","250163","nicht vorhanden","Directed","Café Metropol–Unbekannt","1"
"Unbekannt","250163","nicht vorhanden","9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Directed","Unbekannt–9/3 Post- und Telegraphenamt 72","1"
"Misurina","41013","46,58108 12,25275","Hasenauerstraße 59","235251","48,23365 16,33494","Directed","Misurina–Hasenauerstraße 59","1"
"Venedig","462","45,43713 12,33265","Tiefer Graben 17","207301","48,212284 16,367725","Directed","Venedig–Tiefer Graben 17","3"
"Hochschneeberg","5836","47,775833 15,8075","I., Innere Stadt","51","48,20769 16,37049","Directed","Hochschneeberg–I., Innere Stadt","1"
"St. Johann am Wocheiner See","51794","46,27876846439809 13,886888335799096","St. Johann am Wocheiner See","51794","46,27876846439809 13,886888335799096","Directed","St. Johann am Wocheiner See–St. Johann am Wocheiner See","2"
"St. Johann am Wocheiner See","51794","46,27876846439809 13,886888335799096","Hasenauerstraße 59","235251","48,23365 16,33494","Directed","St. Johann am Wocheiner See–Hasenauerstraße 59","1"
"Währinger Gürtel 90","364920","48,223863 16,34974","1/1 Post- und Telegraphenamt 1","365214","48,210359 16,378357","Directed","Währinger Gürtel 90–1/1 Post- und Telegraphenamt 1","1"
"Shanghai","37885","31,22222 121,45806","Wien","50","48,208333 16,373056","Directed","Shanghai–Wien","2"
"Payerbach","948","47,69209 15,8634","Payerbach","948","47,69209 15,8634","Directed","Payerbach–Payerbach","1"
"Payerbach","948","47,69209 15,8634","Altaussee","34401","47,639444 13,763333","Directed","Payerbach–Altaussee","1"
"Obere Donaustraße 59","333976","48,217918 16,373282","I., Innere Stadt","51","48,20769 16,37049","Directed","Obere Donaustraße 59–I., Innere Stadt","1"
"I., Innere Stadt","51","48,20769 16,37049","9/2 Post- und Telegraphenamt 71","365211","48,218574 16,35084","Directed","I., Innere Stadt–9/2 Post- und Telegraphenamt 71","1"
"Garmisch-Partenkirchen","667","47,49209 11,09576","Steinfeld","405","47,71254 13,6326","Directed","Garmisch-Partenkirchen–Steinfeld","1"
"Madonna di Campiglio","427","46,22671 10,82582","Wien","50","48,208333 16,373056","Directed","Madonna di Campiglio–Wien","2"
"Berlin","168","52,52437 13,41053","XVIII., Währing","68","48,23333 16,31667","Directed","Berlin–XVIII., Währing","2"
"18/1 Post- und Telegraphenamt 110","365223","48,22513 16,343276","Kochgasse 8","249577","48,212327 16,349717","Directed","18/1 Post- und Telegraphenamt 110–Kochgasse 8","2"
"Berlin","168","52,52437 13,41053","St. Anton am Arlberg","212","47,1275 10,26372","Directed","Berlin–St. Anton am Arlberg","2"
"1/1 Post- und Telegraphenamt 1","365214","48,210359 16,378357","Bozen","40260","46,49067 11,33982","Directed","1/1 Post- und Telegraphenamt 1–Bozen","1"
"Fürberg","40276","47,76667 13,38333","St. Gilgen","33","47,76667 13,36667","Directed","Fürberg–St. Gilgen","1"
"St. Gilgen","33","47,76667 13,36667","9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Directed","St. Gilgen–9/3 Post- und Telegraphenamt 72","1"
"Nürnberg","44172","49,45421 11,07752","Tiefer Graben 17","207301","48,212284 16,367725","Directed","Nürnberg–Tiefer Graben 17","1"
"Welsberg-Taisten","428","46,75774 12,10556","Tiefer Graben 23","207296","48,213038 16,368738","Directed","Welsberg-Taisten–Tiefer Graben 23","2"
"Ostrava","41075","49,83465 18,28204","Wien","50","48,208333 16,373056","Directed","Ostrava–Wien","2"
"Bad Ischl","213","47,71109 13,61893","Tiefer Graben 23","207296","48,213038 16,368738","Directed","Bad Ischl–Tiefer Graben 23","1"
"Kärntnerring 12/Bösendorferstraße 11","167805","48,20143 16,37196","1/1 Post- und Telegraphenamt 1","365214","48,210359 16,378357","Directed","Kärntnerring 12/Bösendorferstraße 11–1/1 Post- und Telegraphenamt 1","1"
"1/1 Post- und Telegraphenamt 1","365214","48,210359 16,378357","Bad Ischl","213","47,71109 13,61893","Directed","1/1 Post- und Telegraphenamt 1–Bad Ischl","1"
"Frankfurt am Main","146","50,11552 8,68417","Velden am Wörthersee","909","46,61901 14,03129","Directed","Frankfurt am Main–Velden am Wörthersee","1"
"Unbekannt","806","nicht vorhanden","München","45258","48,13743 11,57549","Directed","Unbekannt–München","2"
"München","45258","48,13743 11,57549","1/1 Post- und Telegraphenamt 1","365214","48,210359 16,378357","Directed","München–1/1 Post- und Telegraphenamt 1","1"
"Wien","50","48,208333 16,373056","Welsberg-Taisten","428","46,75774 12,10556","Directed","Wien–Welsberg-Taisten","1"
"Rom","445","41,89193 12,51133","Wollzeile 15 (»Berthahof«)","190427","48,208656 16,375924","Directed","Rom–Wollzeile 15 (»Berthahof«)","1"
"Riva del Garda","465","45,88576 10,84118","Hasenauerstraße 59","235251","48,23365 16,33494","Directed","Riva del Garda–Hasenauerstraße 59","1"
"Pieve di Cadore","34112","46,42302 12,361","Wien","50","48,208333 16,373056","Directed","Pieve di Cadore–Wien","1"
"Unterach am Attersee","877","47,80494 13,48728","Brijuni","45260","44,91417 13,76222","Directed","Unterach am Attersee–Brijuni","2"
"Spittal an der Drau","41052","46,8 13,5","Spittal an der Drau","41052","46,8 13,5","Directed","Spittal an der Drau–Spittal an der Drau","1"
"Spittal an der Drau","41052","46,8 13,5","Seeboden am Millstättersee","34824","46,818888888889 13,518333","Directed","Spittal an der Drau–Seeboden am Millstättersee","1"
"Świnoujście","142880","53,91053 14,24712","Welsberg-Taisten","428","46,75774 12,10556","Directed","Świnoujście–Welsberg-Taisten","1"
"Čáslav","767","49,91099 15,38972","Wien","50","48,208333 16,373056","Directed","Čáslav–Wien","2"
"Rüdesheim","920","49,9789 7,92442","Sankt Michael","40832","46,455308 11,258736","Directed","Rüdesheim–Sankt Michael","1"
"Adelboden","90188","46,49142 7,56031","Adelboden","90188","46,49142 7,56031","Directed","Adelboden–Adelboden","1"
"Adelboden","90188","46,49142 7,56031","Tiefer Graben 17","207301","48,212284 16,367725","Directed","Adelboden–Tiefer Graben 17","1"
"Wien","50","48,208333 16,373056","Barerstraße","161","48,15205 11,57392","Directed","Wien–Barerstraße","1"
"XVIII., Währing","68","48,23333 16,31667","Reifnitz [Maria Wörth]","334808","46,6058 14,1814","Directed","XVIII., Währing–Reifnitz [Maria Wörth]","1"
"9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Hôtel Hassler","623","41,90627 12,4829","Directed","9/3 Post- und Telegraphenamt 72–Hôtel Hassler","1"
"Wien","50","48,208333 16,373056","Mahlerstraße","1178","48,20282 16,371172","Directed","Wien–Mahlerstraße","1"
