Source,SourceID,Lat-Long-Sender,Target,TargetID,Lat-Long-Receiver,Type,Label,Weight
"Marienbad","772","49,96115 12,72872","Hodonín","49823","48,84893 17,13244","Directed","Marienbad–Hodonín","1"
"Split","4231","43,5 16,433333","Wien","50","48,2066 16,37341","Directed","Split–Wien","1"
"Hradec nad Moravicí","36534","49,85192 17,86698","Wien","50","48,2066 16,37341","Directed","Hradec nad Moravicí–Wien","1"
"Wien","50","48,2066 16,37341","Gardone Riviera","374","45,62499 10,56527","Directed","Wien–Gardone Riviera","2"
"St. Gilgen","33","47,76667 13,36667","Seis am Schlern","988","46,54133 11,55868","Directed","St. Gilgen–Seis am Schlern","1"
"Mittelmeer","41016","35,0 18,0","Wien","50","48,2066 16,37341","Directed","Mittelmeer–Wien","1"
"Marienlyst","959","56,042028 12,601917","Kopenhagen","36300","55,67594 12,56553","Directed","Marienlyst–Kopenhagen","3"
"Helsingør","726","56,03606 12,6136","St. Gilgen","33","47,76667 13,36667","Directed","Helsingør–St. Gilgen","1"
"Innsbruck","867","47,28433 11,37706","Pörtschach","44278","47,02251 14,47783","Directed","Innsbruck–Pörtschach","1"
"Unterach am Attersee","877","47,80494 13,48728","Semmering","189","47,64224 15,8241","Directed","Unterach am Attersee–Semmering","1"
"Wien","50","48,2066 16,37341","Bad Fusch","573","47,2003 12,85589","Directed","Wien–Bad Fusch","1"
"Saas-Fee","91634","46,10805 7,92741","Wien","50","48,2066 16,37341","Directed","Saas-Fee–Wien","1"
"Triest","873","45,66667 13,76667","Wien","50","48,2066 16,37341","Directed","Triest–Wien","1"
"Bayreuth","734","49,94782 11,57893","Villach","40454","46,61254 13,8529","Directed","Bayreuth–Villach","1"
"Czernowitz","976","48,29149 25,94034","Wien","50","48,2066 16,37341","Directed","Czernowitz–Wien","1"
"Seeboden","34824","46,83649 13,52346","Wien","50","48,2066 16,37341","Directed","Seeboden–Wien","4"
"Tianjin","118682","39,03839 117,17994","Wien","50","48,2066 16,37341","Directed","Tianjin–Wien","3"
"Grand Canyon Village","148423","36,053333333333 -112,13944444444","Wien","50","48,2066 16,37341","Directed","Grand Canyon Village–Wien","1"
"St. Gilgen","33","47,76667 13,36667","Bad Aussee","415","47,60998 13,78243","Directed","St. Gilgen–Bad Aussee","3"
"Leukerbad","145560","46,37943 7,62687","Wien","50","48,2066 16,37341","Directed","Leukerbad–Wien","1"
"Kopenhagen","36300","55,67594 12,56553","Bad Ischl","213","47,71109 13,61893","Directed","Kopenhagen–Bad Ischl","2"
"Taormina","906","37,85358 15,28851","Wien","50","48,2066 16,37341","Directed","Taormina–Wien","4"
"Istanbul","966","41,01384 28,94966","Wien","50","48,2066 16,37341","Directed","Istanbul–Wien","1"
"Pörtschach","44278","47,02251 14,47783","Vahrn","946","46,73901 11,63749","Directed","Pörtschach–Vahrn","4"
"Wien","50","48,2066 16,37341","Dresden","866","51,0833 13,7666","Directed","Wien–Dresden","1"
"Helsingør","726","56,03606 12,6136","Wien","50","48,2066 16,37341","Directed","Helsingør–Wien","1"
"Skodsborg","958","55,8225 12,57324","Vahrn","946","46,73901 11,63749","Directed","Skodsborg–Vahrn","1"
"Pieve di Cadore","34112","46,42302 12,361","Wien","50","48,2066 16,37341","Directed","Pieve di Cadore–Wien","1"
"Kopenhagen","36300","55,67594 12,56553","Marienlyst","959","56,042028 12,601917","Directed","Kopenhagen–Marienlyst","2"
"Gmunden","874","47,91839 13,79933","Wien","50","48,2066 16,37341","Directed","Gmunden–Wien","1"
"Las Palmas de Gran Canaria","44097","28,09973 -15,41343","Kopenhagen","36300","55,67594 12,56553","Directed","Las Palmas de Gran Canaria–Kopenhagen","1"
"Salzburg","30","47,80067 13,04532","Seis am Schlern","988","46,54133 11,55868","Directed","Salzburg–Seis am Schlern","1"
"Split","4231","43,5 16,433333","Paris","182","48,85341 2,3488","Directed","Split–Paris","1"
"St. Johann in Tirol","40127","47,52332 12,42326","Bad Ischl","213","47,71109 13,61893","Directed","St. Johann in Tirol–Bad Ischl","1"
"Eppan an der Weinstraße","36485","46,45472 11,26178","Wien","50","48,2066 16,37341","Directed","Eppan an der Weinstraße–Wien","2"
"Berlin","168","52,52437 13,41053","Marienlyst","959","56,042028 12,601917","Directed","Berlin–Marienlyst","4"
"Rodaun","173","48,132793312328 16,256152195922","Salzburg","30","47,80067 13,04532","Directed","Rodaun–Salzburg","1"
"Königs Wusterhausen","147545","52,30141 13,633","Wien","50","48,2066 16,37341","Directed","Königs Wusterhausen–Wien","1"
"Bad Ischl","213","47,71109 13,61893","Paris","182","48,85341 2,3488","Directed","Bad Ischl–Paris","1"
"Semmering","189","47,64224 15,8241","Semmering","189","47,64224 15,8241","Directed","Semmering–Semmering","1"
"Kremsmünster","48393","48,05301 14,12842","Wien","50","48,2066 16,37341","Directed","Kremsmünster–Wien","1"
"Mailand","886","45,46427 9,18951","Lueg am Wolfgangsee","186","47,754041 13,372211","Directed","Mailand–Lueg am Wolfgangsee","1"
