Source,SID,Target,TID,Overallcount,Type,Label,Weight
"Hermann Bahr","10815","Otto Brahm","10986","112","Directed","Hermann Bahr–Otto Brahm","15"
"Hermann Bahr","10815","Louise Schnitzler","12701","76","Directed","Hermann Bahr–Louise Schnitzler","1"
"Hermann Bahr","10815","Heinrich Kanner","11867","75","Directed","Hermann Bahr–Heinrich Kanner","39"
"Hermann Bahr","10815","Isidor Singer","12790","64","Directed","Hermann Bahr–Isidor Singer","40"
"Hermann Bahr","10815","Marie Reinhard","2378","59","Directed","Hermann Bahr–Marie Reinhard","1"
"Hermann Bahr","10815","Gertrude von Hofmannsthal","2292","55","Directed","Hermann Bahr–Gertrude von Hofmannsthal","1"
"Hermann Bahr","10815","Max Eugen Burckhard","11036","55","Directed","Hermann Bahr–Max Eugen Burckhard","14"
"Hermann Bahr","10815","Samuel Fischer","11324","50","Directed","Hermann Bahr–Samuel Fischer","7"
"Hermann Bahr","10815","Frieda Pollak","22728","50","Directed","Hermann Bahr–Frieda Pollak","1"
"Hermann Bahr","10815","Julius Schnitzler","12698","45","Directed","Hermann Bahr–Julius Schnitzler","5"
"Hermann Bahr","10815","Johann Wolfgang von Goethe","11461","44","Directed","Hermann Bahr–Johann Wolfgang von Goethe","1"
"Hermann Bahr","10815","Elisabeth Steinrück","2315","43","Directed","Hermann Bahr–Elisabeth Steinrück","1"
"Hermann Bahr","10815","Paul Schlenther","12671","43","Directed","Hermann Bahr–Paul Schlenther","2"
"Hermann Bahr","10815","Georg Hirschfeld","11701","40","Directed","Hermann Bahr–Georg Hirschfeld","2"
"Hermann Bahr","10815","Arthur Schnitzler","2121","39","Directed","Hermann Bahr–Arthur Schnitzler","3"
"Hermann Bahr","10815","Lili Cappellini","2238","39","Directed","Hermann Bahr–Lili Cappellini","4"
"Hermann Bahr","10815","Adele Sandrock","12618","39","Directed","Hermann Bahr–Adele Sandrock","3"
"Hermann Bahr","10815","Leo Van-Jung","26392","39","Directed","Hermann Bahr–Leo Van-Jung","1"
"Hermann Bahr","10815","Georg Brandes","10992","37","Directed","Hermann Bahr–Georg Brandes","1"
"Hermann Bahr","10815","Max Reinhardt","12504","37","Directed","Hermann Bahr–Max Reinhardt","12"
"Hermann Bahr","10815","Peter Altenberg","2147","36","Directed","Hermann Bahr–Peter Altenberg","9"
"Hermann Bahr","10815","Leopold von Andrian-Werburg","10765","32","Directed","Hermann Bahr–Leopold von Andrian-Werburg","4"
"Hermann Bahr","10815","Anna Bahr-Mildenburg","10818","31","Directed","Hermann Bahr–Anna Bahr-Mildenburg","30"
"Hermann Bahr","10815","Karl Kraus","11988","27","Directed","Hermann Bahr–Karl Kraus","2"
"Hermann Bahr","10815","Josef Kainz","11851","22","Directed","Hermann Bahr–Josef Kainz","1"
"Hermann Bahr","10815","Maximilian Harden","11581","20","Directed","Hermann Bahr–Maximilian Harden","1"
"Hermann Bahr","10815","Peter Nansen","2357","19","Directed","Hermann Bahr–Peter Nansen","1"
"Hermann Bahr","10815","Emanuel Reicher","12491","18","Directed","Hermann Bahr–Emanuel Reicher","3"
"Hermann Bahr","10815","Alfred von Berger","10883","17","Directed","Hermann Bahr–Alfred von Berger","4"
"Hermann Bahr","10815","Hermann Sudermann","12899","17","Directed","Hermann Bahr–Hermann Sudermann","1"
"Hermann Bahr","10815","Friedrich Mitterwurzer","12265","16","Directed","Hermann Bahr–Friedrich Mitterwurzer","2"
"Hermann Bahr","10815","Siegfried Trebitsch","12968","16","Directed","Hermann Bahr–Siegfried Trebitsch","4"
"Hermann Bahr","10815","André Antoine","2211","15","Directed","Hermann Bahr–André Antoine","2"
"Hermann Bahr","10815","Ludwig Fulda","11391","15","Directed","Hermann Bahr–Ludwig Fulda","1"
"Hermann Bahr","10815","Irene Triesch","12977","15","Directed","Hermann Bahr–Irene Triesch","1"
"Hermann Bahr","10815","Julius Bauer","2150","14","Directed","Hermann Bahr–Julius Bauer","1"
"Hermann Bahr","10815","Markus Hajek","2284","14","Directed","Hermann Bahr–Markus Hajek","1"
"Hermann Bahr","10815","Agnes Sorma","2299","12","Directed","Hermann Bahr–Agnes Sorma","1"
"Hermann Bahr","10815","Gilbert Otto Neumann-Hofer","12348","12","Directed","Hermann Bahr–Gilbert Otto Neumann-Hofer","4"
"Hermann Bahr","10815","Ludwig Speidel","12816","12","Directed","Hermann Bahr–Ludwig Speidel","1"
"Hermann Bahr","10815","Emerich von Bukovics","2161","11","Directed","Hermann Bahr–Emerich von Bukovics","9"
"Hermann Bahr","10815","Leo Ebermann","2157","10","Directed","Hermann Bahr–Leo Ebermann","1"
"Hermann Bahr","10815","Rudolf Rittner","12530","10","Directed","Hermann Bahr–Rudolf Rittner","2"
"Hermann Bahr","10815","Clemens von Franckenstein","3130","9","Directed","Hermann Bahr–Clemens von Franckenstein","1"
"Hermann Bahr","10815","Albert Bassermann","10844","9","Directed","Hermann Bahr–Albert Bassermann","3"
"Hermann Bahr","10815","Gabriele D’Annunzio","2142","8","Directed","Hermann Bahr–Gabriele D’Annunzio","2"
"Hermann Bahr","10815","Eleonora Duse","11201","8","Directed","Hermann Bahr–Eleonora Duse","2"
"Hermann Bahr","10815","Lucie Höflich","11791","8","Directed","Hermann Bahr–Lucie Höflich","6"
"Hermann Bahr","10815","Richard Strauss","12870","8","Directed","Hermann Bahr–Richard Strauss","1"
"Hermann Bahr","10815","Carl Karlweis","13082","8","Directed","Hermann Bahr–Carl Karlweis","3"
"Hermann Bahr","10815","Margarethe Kainz","2273","7","Directed","Hermann Bahr–Margarethe Kainz","2"
"Hermann Bahr","10815","Berta Zuckerkandl","2312","7","Directed","Hermann Bahr–Berta Zuckerkandl","1"
"Hermann Bahr","10815","Adalbert von Goldschmidt","11491","7","Directed","Hermann Bahr–Adalbert von Goldschmidt","1"
