Source,SID,Target,TID,Overallcount,Type,Label,Weight
"Paul Goldmann","11485","Else Markbreiter","21025","1","Directed","Paul Goldmann–Else Markbreiter","1"
"Paul Goldmann","11485","Paul Martin Marton","21119","4","Directed","Paul Goldmann–Paul Martin Marton","4"
"Paul Goldmann","11485","Paul Marx","21137","3","Directed","Paul Goldmann–Paul Marx","3"
"Paul Goldmann","11485","Géza von Mattachich","21176","2","Directed","Paul Goldmann–Géza von Mattachich","2"
"Paul Goldmann","11485","Helene Meyer-Cohn","21379","3","Directed","Paul Goldmann–Helene Meyer-Cohn","3"
"Paul Goldmann","11485","Lucien Millevoye","21481","3","Directed","Paul Goldmann–Lucien Millevoye","3"
"Paul Goldmann","11485","Paul Marx","21647","7","Directed","Paul Goldmann–Paul Marx","5"
"Paul Goldmann","11485","Ella Naschauer","21801","1","Directed","Paul Goldmann–Ella Naschauer","1"
"Paul Goldmann","11485","Hermann Nissen","21985","1","Directed","Paul Goldmann–Hermann Nissen","1"
"Paul Goldmann","11485","Alfred Nossig","22025","1","Directed","Paul Goldmann–Alfred Nossig","1"
"Paul Goldmann","11485","Karl von Perfall","22428","1","Directed","Paul Goldmann–Karl von Perfall","1"
"Paul Goldmann","11485","Emilie Dorothea Popper","22798","2","Directed","Paul Goldmann–Emilie Dorothea Popper","2"
"Paul Goldmann","11485","Porges","22815","1","Directed","Paul Goldmann–Porges","1"
"Paul Goldmann","11485","Ignaz Pserhofer","22918","1","Directed","Paul Goldmann–Ignaz Pserhofer","1"
"Paul Goldmann","11485","Emil Rechert","23113","1","Directed","Paul Goldmann–Emil Rechert","1"
"Paul Goldmann","11485","Franz Rettinger","23300","1","Directed","Paul Goldmann–Franz Rettinger","1"
"Paul Goldmann","11485","Henri de Rochefort","23481","3","Directed","Paul Goldmann–Henri de Rochefort","2"
"Paul Goldmann","11485","Max von Rosenberg","23575","1","Directed","Paul Goldmann–Max von Rosenberg","1"
"Paul Goldmann","11485","Josef Rosengart","23593","22","Directed","Paul Goldmann–Josef Rosengart","22"
"Paul Goldmann","11485","Mizi Rosner","23611","1","Directed","Paul Goldmann–Mizi Rosner","1"
"Paul Goldmann","11485","Theodore Rottenberg","23674","23","Directed","Paul Goldmann–Theodore Rottenberg","22"
"Paul Goldmann","11485","Anton Rubinstein","23705","1","Directed","Paul Goldmann–Anton Rubinstein","1"
"Paul Goldmann","11485","Réjane","23784","3","Directed","Paul Goldmann–Réjane","2"
"Paul Goldmann","11485","Hermine von Schaffgotsch","24033","14","Directed","Paul Goldmann–Hermine von Schaffgotsch","1"
"Paul Goldmann","11485","Max Schiller","24181","1","Directed","Paul Goldmann–Max Schiller","1"
"Paul Goldmann","11485","Hans Schnitzler","24420","2","Directed","Paul Goldmann–Hans Schnitzler","1"
"Paul Goldmann","11485","Helene Schnitzler","24423","14","Directed","Paul Goldmann–Helene Schnitzler","9"
"Paul Goldmann","11485","Paul Schulz","24566","3","Directed","Paul Goldmann–Paul Schulz","1"
"Paul Goldmann","11485","Paul von Schönthan-Pernwald","24705","4","Directed","Paul Goldmann–Paul von Schönthan-Pernwald","1"
"Paul Goldmann","11485","Charles Simon","24952","1","Directed","Paul Goldmann–Charles Simon","1"
"Paul Goldmann","11485","Clemens Sokal","25076","4","Directed","Paul Goldmann–Clemens Sokal","2"
"Paul Goldmann","11485","Edgar von Spiegl-Thurnsee","25196","1","Directed","Paul Goldmann–Edgar von Spiegl-Thurnsee","1"
"Paul Goldmann","11485","Daniel Spitzer","25237","1","Directed","Paul Goldmann–Daniel Spitzer","1"
"Paul Goldmann","11485","Frida Strindberg","25665","2","Directed","Paul Goldmann–Frida Strindberg","2"
"Paul Goldmann","11485","Bertel Thorvaldsen","26034","1","Directed","Paul Goldmann–Bertel Thorvaldsen","1"
"Paul Goldmann","11485","Carl von Torresani-Lanzenfeld","26121","5","Directed","Paul Goldmann–Carl von Torresani-Lanzenfeld","2"
"Paul Goldmann","11485","Boris Van-Jung","26388","2","Directed","Paul Goldmann–Boris Van-Jung","1"
"Paul Goldmann","11485","Ida Van-Jung","26391","1","Directed","Paul Goldmann–Ida Van-Jung","1"
"Paul Goldmann","11485","Leo Van-Jung","26392","39","Directed","Paul Goldmann–Leo Van-Jung","17"
"Paul Goldmann","11485","Fernand Vandérem","26399","1","Directed","Paul Goldmann–Fernand Vandérem","1"
"Paul Goldmann","11485","Pierre Veber","26421","1","Directed","Paul Goldmann–Pierre Veber","1"
"Paul Goldmann","11485","Carl Waissnix","26594","1","Directed","Paul Goldmann–Carl Waissnix","1"
"Paul Goldmann","11485","Théodore de Wyzewa","27373","3","Directed","Paul Goldmann–Théodore de Wyzewa","3"
"Paul Goldmann","11485","Léon Xanrof","27405","1","Directed","Paul Goldmann–Léon Xanrof","1"
"Paul Goldmann","11485","Arnost Ziegler","27472","2","Directed","Paul Goldmann–Arnost Ziegler","2"
