Source,SID,Target,TID,Type,Label,Weight
"Arno Holz","11763","Hermann Bahr","10815","Directed","Arno Holz–Hermann Bahr","1"
"Eduard Michael Kafka","2563","Hugo von Hofmannsthal","11740","Directed","Eduard Michael Kafka–Hugo von Hofmannsthal","1"
"Eduard Michael Kafka","2563","Hermann Bahr","10815","Directed","Eduard Michael Kafka–Hermann Bahr","1"
"Eduard Michael Kafka","2563","Paul Goldmann","11485","Directed","Eduard Michael Kafka–Paul Goldmann","1"
"Eduard Michael Kafka","2563","Julius Schnitzler","12698","Directed","Eduard Michael Kafka–Julius Schnitzler","1"
"Karl Kraus","11988","Richard Beer-Hofmann","10863","Directed","Karl Kraus–Richard Beer-Hofmann","5"
"Karl Kraus","11988","Hugo von Hofmannsthal","11740","Directed","Karl Kraus–Hugo von Hofmannsthal","4"
"Karl Kraus","11988","Hermann Bahr","10815","Directed","Karl Kraus–Hermann Bahr","3"
"Karl Kraus","11988","Felix Salten","2167","Directed","Karl Kraus–Felix Salten","3"
"Karl Kraus","11988","Samuel Fischer","11324","Directed","Karl Kraus–Samuel Fischer","1"
"Fedor Mamroth","4986","Richard Beer-Hofmann","10863","Directed","Fedor Mamroth–Richard Beer-Hofmann","1"
"Fedor Mamroth","4986","Paul Goldmann","11485","Directed","Fedor Mamroth–Paul Goldmann","1"
"Fedor Mamroth","4986","Otto Brahm","10986","Directed","Fedor Mamroth–Otto Brahm","1"
"Fedor Mamroth","4986","Samuel Fischer","11324","Directed","Fedor Mamroth–Samuel Fischer","1"
"Thomas Mann","12176","Olga Schnitzler","2173","Directed","Thomas Mann–Olga Schnitzler","3"
"Thomas Mann","12176","Felix Salten","2167","Directed","Thomas Mann–Felix Salten","1"
"Thomas Mann","12176","Heinrich Schnitzler","12692","Directed","Thomas Mann–Heinrich Schnitzler","2"
"Thomas Mann","12176","Louise Schnitzler","12701","Directed","Thomas Mann–Louise Schnitzler","1"
"Thomas Mann","12176","Samuel Fischer","11324","Directed","Thomas Mann–Samuel Fischer","1"
"Thomas Mann","12176","Alfred Kerr","11910","Directed","Thomas Mann–Alfred Kerr","1"
"Thomas Mann","12176","Frieda Pollak","22728","Directed","Thomas Mann–Frieda Pollak","1"
"Thomas Mann","12176","Jakob Wassermann","13055","Directed","Thomas Mann–Jakob Wassermann","1"
"Max Mell","12225","Olga Schnitzler","2173","Directed","Max Mell–Olga Schnitzler","6"
"Max Mell","12225","Paul Schlenther","12671","Directed","Max Mell–Paul Schlenther","1"
"Frank Wedekind","13068","Olga Schnitzler","2173","Directed","Frank Wedekind–Olga Schnitzler","1"
"Frank Wedekind","13068","Heinrich Schnitzler","12692","Directed","Frank Wedekind–Heinrich Schnitzler","1"
"Bertha Suttner","12906","Olga Schnitzler","2173","Directed","Bertha Suttner–Olga Schnitzler","6"
"Paul Goldmann","11485","Olga Schnitzler","2173","Directed","Paul Goldmann–Olga Schnitzler","107"
"Paul Goldmann","11485","Richard Beer-Hofmann","10863","Directed","Paul Goldmann–Richard Beer-Hofmann","131"
"Paul Goldmann","11485","Hugo von Hofmannsthal","11740","Directed","Paul Goldmann–Hugo von Hofmannsthal","55"
"Paul Goldmann","11485","Hermann Bahr","10815","Directed","Paul Goldmann–Hermann Bahr","54"
"Paul Goldmann","11485","Leopold Sonnemann","87771","Directed","Paul Goldmann–Leopold Sonnemann","138"
"Paul Goldmann","11485","Felix Salten","2167","Directed","Paul Goldmann–Felix Salten","18"
"Paul Goldmann","11485","Paula Beer-Hofmann","10860","Directed","Paul Goldmann–Paula Beer-Hofmann","4"
"Paul Goldmann","11485","Heinrich Schnitzler","12692","Directed","Paul Goldmann–Heinrich Schnitzler","26"
"Paul Goldmann","11485","Otto Brahm","10986","Directed","Paul Goldmann–Otto Brahm","20"
"Paul Goldmann","11485","Gustav Schwarzkopf","12740","Directed","Paul Goldmann–Gustav Schwarzkopf","9"
"Paul Goldmann","11485","Fedor Mamroth","4986","Directed","Paul Goldmann–Fedor Mamroth","70"
"Paul Goldmann","11485","Louise Schnitzler","12701","Directed","Paul Goldmann–Louise Schnitzler","28"
"Paul Goldmann","11485","Heinrich Kanner","11867","Directed","Paul Goldmann–Heinrich Kanner","16"
"Paul Goldmann","11485","Isidor Singer","12790","Directed","Paul Goldmann–Isidor Singer","3"
"Paul Goldmann","11485","Marie Reinhard","2378","Directed","Paul Goldmann–Marie Reinhard","42"
"Paul Goldmann","11485","Max Eugen Burckhard","11036","Directed","Paul Goldmann–Max Eugen Burckhard","19"
"Paul Goldmann","11485","Samuel Fischer","11324","Directed","Paul Goldmann–Samuel Fischer","5"
"Paul Goldmann","11485","Theodor Herzl","11673","Directed","Paul Goldmann–Theodor Herzl","38"
"Paul Goldmann","11485","Alfred Kerr","11910","Directed","Paul Goldmann–Alfred Kerr","29"
"Paul Goldmann","11485","Julius Schnitzler","12698","Directed","Paul Goldmann–Julius Schnitzler","18"
"Paul Goldmann","11485","Johann Wolfgang von Goethe","11461","Directed","Paul Goldmann–Johann Wolfgang von Goethe","12"
"Paul Goldmann","11485","Elisabeth Steinrück","2315","Directed","Paul Goldmann–Elisabeth Steinrück","20"
"Paul Goldmann","11485","Paul Schlenther","12671","Directed","Paul Goldmann–Paul Schlenther","15"
"Paul Goldmann","11485","Jakob Wassermann","13055","Directed","Paul Goldmann–Jakob Wassermann","8"
"Paul Goldmann","11485","Georg Hirschfeld","11701","Directed","Paul Goldmann–Georg Hirschfeld","5"
"Paul Goldmann","11485","Arthur Schnitzler","2121","Directed","Paul Goldmann–Arthur Schnitzler","18"
"Else Lasker-Schüler","38973","Arthur Schnitzler","2121","Directed","Else Lasker-Schüler–Arthur Schnitzler","1"
"Felix Salten","2167","Olga Schnitzler","2173","Directed","Felix Salten–Olga Schnitzler","61"
"Felix Salten","2167","Richard Beer-Hofmann","10863","Directed","Felix Salten–Richard Beer-Hofmann","40"
"Felix Salten","2167","Hugo von Hofmannsthal","11740","Directed","Felix Salten–Hugo von Hofmannsthal","30"
"Felix Salten","2167","Hermann Bahr","10815","Directed","Felix Salten–Hermann Bahr","22"
"Felix Salten","2167","Paul Goldmann","11485","Directed","Felix Salten–Paul Goldmann","19"
"Felix Salten","2167","Paula Beer-Hofmann","10860","Directed","Felix Salten–Paula Beer-Hofmann","5"
"Felix Salten","2167","Heinrich Schnitzler","12692","Directed","Felix Salten–Heinrich Schnitzler","19"
"Felix Salten","2167","Otto Brahm","10986","Directed","Felix Salten–Otto Brahm","13"
"Felix Salten","2167","Gustav Schwarzkopf","12740","Directed","Felix Salten–Gustav Schwarzkopf","9"
"Felix Salten","2167","Ottilie Salten","23918","Directed","Felix Salten–Ottilie Salten","86"
"Felix Salten","2167","Louise Schnitzler","12701","Directed","Felix Salten–Louise Schnitzler","6"
"Felix Salten","2167","Heinrich Kanner","11867","Directed","Felix Salten–Heinrich Kanner","17"
"Felix Salten","2167","Isidor Singer","12790","Directed","Felix Salten–Isidor Singer","15"
"Felix Salten","2167","Marie Reinhard","2378","Directed","Felix Salten–Marie Reinhard","1"
"Felix Salten","2167","Max Eugen Burckhard","11036","Directed","Felix Salten–Max Eugen Burckhard","2"
"Felix Salten","2167","Samuel Fischer","11324","Directed","Felix Salten–Samuel Fischer","8"
